#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- standard track names

  T11	= Maca Luga
  T12	= Momo - Modes
  T13	= Not seen for a long time
  T14	= Timber factory

  T21	= Mario Kara
  T22	= Take almonds.
  T23	= DJ
  T24	= Copper tomorrow

  T31	= I love you
  T32	= Cape Cape
  T33	= the film
  T34	= Monte Bromo

  T41	= Woma
  T42	= Find the moon
  T43	= Search the Web
  T44	= Murarang

  T51	= Thank you GCN Sea
  T52	= Your people
  T53	= SNES 2 Ghost
  T54	= Mario N64 Song Contest

  T61	= Reading N64
  T62	= Shame on your GBA brand
  T63	= Dolphin DS Game
  T64	= GCN Marketing Campaign

  T71	= Desert DS Desert Book
  T72	= Strengthen the community
  T73	= Bubble N64 DK
  T74	= GCN City GCN

  T81	= SNES Mario Series 3
  T82	= Thank you King DS!GCN DK Berg
  T83	= Explorer slot N64
  T84	= Ogige Ogige

#--- battle track names

  U11	= Mall Cube
  U12	= Dera Dolphin
  U13	= Garden
  U14	= Wat Tai Chum
  U15	= Steal

  U21	= SNG Agha 4
  U22	= Battle for GBA 3
  U23	= Baby N64
  U24	= GCN Koekieland
  U25	= Up DS

  2328	= Mario
  2329	= Persian baby
  232a	= Varuji
  232b	= Bowser
  232c	= Daisy's son
  232d	= Dry feet
  232e	= Baba Mario
  232f	= Luigi
  2330	= Public
  2331	= Donkey mountain
  2332	= Yaozhi
  2333	= other
  2334	= Puiule Luigi
  2335	= Krios
  2336	= Power supply interruption
  2337	= chrysanthemum
  2338	= Gali
  2339	= Chris
  233a	= Didi
  233b	= Raja Boo 
  233c	= Bowser Jr.
  233d	= Bowser Terram
  233e	= Funky hole
  233f	= Rosalina
  2340	= I
  235a	= \ z {802.10000}
  235b	= \ z {802.10000}
  235c	= My vertical
  235d	= Mii Laut B.
  235e	/
  238c	= S. Release rate
  238d	= Karretempo Ma
  238e	= Issue L
  238f	= increase
  2390	= Classic Dragster
  2391	= Please do not
  2392	= animal
  2393	= Wild Shield
  2394	= Butterfly fire
  2395	= Mount disk
  2396	= Super Baroque
  2397	= Piranha
  2398	= Little Titan
  2399	= not bright
  239a	= Jack Lay
  239b	= Blowark
  239c	= Athlete whip
  239d	= Mill
  239e	= S. Release rate
  239f	= retail price
  23a0	= Issue L
  23a1	= S. Release rate
  23a2	= retail price
  23a3	= Issue L
